"muni","numRooms","rentcount","meanrent","medrent"
"BOLTON",2,1,2195,2195
"BOLTON",3,1,2195,2195
"BOSTON",0,1637,2376,2250
"BOSTON",1,3434,2784,2600
"BOSTON",2,3297,3529,3200
"BOSTON",3,1877,4033,3795
"BOSTON",4,1081,4626,4600
"BOSTON",5,291,5559,5600
"BOSTON",6,56,5892,6000
"BOXBOROUGH",1,12,1820,1772
"BOXBOROUGH",2,5,2134,2100
"BOXBOROUGH",3,1,3400,3400
"BOXBOROUGH",5,2,6649,6649
"BRAINTREE",0,3,2225,2225
"BRAINTREE",1,23,2496,2525
"BRAINTREE",2,32,2962,3010
"BRAINTREE",3,9,3483,3800
"BRAINTREE",4,2,3550,3550
"BRIDGEWATER",0,1,1900,1900
"BRIDGEWATER",1,1,2070,2070
"BRIDGEWATER",2,4,2225,2250
"BRIDGEWATER",3,2,2444,2444
"BRIDGEWATER",4,1,3250,3250
"BRIDGEWATER",5,1,3800,3800
"BROCKTON",0,5,1870,1600
"BROCKTON",1,31,1675,1750
"BROCKTON",2,44,2272,2238
"BROCKTON",3,42,2724,2800
"BROCKTON",4,6,3328,3200
"BROOKLINE",0,180,2340,2320
"BROOKLINE",1,501,2958,2900
"BROOKLINE",2,501,3770,3675
"BROOKLINE",3,250,4802,4550
"BROOKLINE",4,172,5939,5900
"BROOKLINE",5,12,6908,7200
"BROOKLINE",6,4,8262,7375
"BURLINGTON",1,10,2394,2275
"BURLINGTON",2,15,3253,2850
"BURLINGTON",3,3,4482,4457
"BURLINGTON",4,1,3975,3975
"BURLINGTON",5,1,4400,4400
"CAMBRIDGE",0,269,2487,2400
"CAMBRIDGE",1,822,3081,3000
"CAMBRIDGE",2,840,3850,3795
"CAMBRIDGE",3,420,4612,4400
"CAMBRIDGE",4,178,5331,5200
"CAMBRIDGE",5,51,5248,5700
"CAMBRIDGE",6,2,5800,5800
"CANTON",1,9,2117,2190
"CANTON",2,37,3092,3110
"CANTON",3,1,3650,3650
"CHATHAM",2,1,2500,2500
"CHELMSFORD",0,2,1700,1700
"CHELMSFORD",1,8,1875,1838
"CHELMSFORD",2,26,2504,2500
"CHELMSFORD",3,6,3233,3200
"CHELMSFORD",4,1,4950,4950
"CHELSEA",0,21,1792,1595
"CHELSEA",1,35,2209,2200
"CHELSEA",2,48,2612,2500
"CHELSEA",3,27,3063,2995
"CHELSEA",4,7,3541,3550
"CLINTON",0,5,1307,1350
"CLINTON",1,8,1441,1475
"CLINTON",2,9,1872,1850
"CLINTON",3,2,2648,2648
"COHASSET",1,1,2600,2600
"COHASSET",2,1,2200,2200
"CONCORD",0,13,3363,3115
"CONCORD",1,4,2349,2350
"CONCORD",2,4,3708,3718
"CONCORD",3,1,4520,4520
"CONCORD",4,1,4400,4400
"DANVERS",1,9,2078,2100
"DANVERS",2,13,2467,2500
"DANVERS",3,6,3450,3500
"DEDHAM",0,4,1818,1710
"DEDHAM",1,31,2518,2350
"DEDHAM",2,22,3300,3328
"DEDHAM",3,10,4258,4350
"DEDHAM",4,2,4900,4900
"DOVER",2,1,2060,2060
"DRACUT",1,1,1825,1825
"DRACUT",2,14,2258,2262
"DRACUT",3,1,2700,2700
"DRACUT",4,1,4000,4000
"DUXBURY",1,2,2000,2000
"DUXBURY",2,2,2500,2500
"EAST BRIDGEWATER",1,1,2199,2199
"EAST BRIDGEWATER",2,3,2183,2650
"EAST BRIDGEWATER",3,3,2966,2999
"EASTON",0,3,1633,500
"EASTON",1,5,3118,3100
"EASTON",2,12,3114,2550
"EASTON",3,5,5189,4817
"ESSEX",1,1,2200,2200
"EVERETT",0,11,2189,2200
"EVERETT",1,57,2557,2300
"EVERETT",2,69,2969,2550
"EVERETT",3,32,3429,3000
"EVERETT",4,17,3711,3500
"EVERETT",5,4,4522,4448
"EVERETT",6,1,4500,4500
"FALL RIVER",2,1,1600,1600
"FOXBOROUGH",1,14,1983,1900
"FOXBOROUGH",2,23,2400,2325
"FOXBOROUGH",3,4,3475,3475
"FOXBOROUGH",4,1,5800,5800
"FRAMINGHAM",0,19,1740,1750
"FRAMINGHAM",1,66,2122,2105
"FRAMINGHAM",2,69,2523,2450
"FRAMINGHAM",3,21,3318,3200
"FRAMINGHAM",4,5,4409,4500
"FRAMINGHAM",5,2,4050,4050
"FRANKLIN",0,1,850,850
"FRANKLIN",1,20,1939,1825
"FRANKLIN",2,29,2440,2445
"FRANKLIN",3,5,2670,2700
"FRANKLIN",4,1,3150,3150
"GARDNER",5,1,3000,3000
"GEORGETOWN",1,1,1850,1850
"GLOUCESTER",0,1,1300,1300
"GLOUCESTER",1,11,1972,1950
"GLOUCESTER",2,16,2471,2498
"GLOUCESTER",3,11,2818,2800
"GLOUCESTER",4,4,5150,4000
"GRAFTON",1,1,2450,2450
"GRAFTON",2,6,2024,1848
"GRAFTON",3,1,2650,2650
"GROTON",1,3,1600,1600
"GROTON",3,1,2900,2900
"HALIFAX",2,1,3300,3300
"HAMILTON",2,2,2500,2500
"HANOVER",1,1,1750,1750
"HANOVER",2,2,2288,2288
"HANSON",1,6,1750,1725
"HARVARD",1,1,1750,1750
"HATFIELD",0,1,2500,2500
"HAVERHILL",0,4,1738,1725
"HAVERHILL",1,29,1993,1920
"HAVERHILL",2,24,2118,2100
"HAVERHILL",3,7,2493,2300
"HAVERHILL",4,3,2983,3000
"HINGHAM",1,3,3557,4375
"HINGHAM",2,8,3637,3488
"HINGHAM",3,3,5748,4392
"HOLBROOK",0,2,2200,2200
"HOLBROOK",2,5,2677,2536
"HOLBROOK",3,6,3082,3078
"HOLLISTON",1,2,2048,2048
"HOLLISTON",2,1,1975,1975
"HOPKINTON",1,3,2191,2053
"HOPKINTON",2,7,3253,3000
"HOPKINTON",3,2,3040,3040
"HOPKINTON",4,1,4500,4500
"HUDSON",1,2,1672,1672
"HUDSON",2,11,2318,2203
"HUDSON",3,2,3325,3325
"HULL",0,2,1450,1450
"HULL",1,4,2194,2025
"HULL",2,6,2779,2712
"HULL",3,1,2600,2600
"HULL",4,1,3000,3000
"IPSWICH",0,2,1600,1600
"IPSWICH",1,5,1800,1800
"IPSWICH",2,2,2525,2525
"IPSWICH",3,1,3200,3200
"KINGSTON",1,1,2000,2000
"KINGSTON",2,2,5242,5242
"LANCASTER",1,1,1665,1665
"LANCASTER",2,1,2150,2150
"LAWRENCE",0,5,1595,1725
"LAWRENCE",1,28,1630,1700
"LAWRENCE",2,35,2165,2160
"LAWRENCE",3,15,2449,2400
"LAWRENCE",4,3,2582,2500
"LAWRENCE",6,1,950,950
"LEXINGTON",1,14,2622,2338
"LEXINGTON",2,19,3961,3300
"LEXINGTON",3,6,6284,6510
"LEXINGTON",4,10,5088,4925
"LEXINGTON",5,1,8500,8500
"LINCOLN",2,1,2647,2647
"LINCOLN",3,2,4250,4250
"LINCOLN",5,2,5800,5800
"LITTLETON",0,2,1400,1400
"LITTLETON",1,3,1633,1650
"LITTLETON",2,5,3019,3200
"LITTLETON",3,1,4500,4500
"LOWELL",0,17,1548,1650
"LOWELL",1,102,1721,1684
"LOWELL",2,107,2173,2100
"LOWELL",3,66,2527,2500
"LOWELL",4,29,2811,2975
"LOWELL",5,5,3120,3200
"LYNN",0,22,1544,1650
"LYNN",1,52,2055,2100
"LYNN",2,43,2484,2500
"LYNN",3,45,3115,3000
"LYNN",4,5,3491,3550
"LYNN",5,1,3500,3500
"LYNN",6,2,4600,4600
"LYNNFIELD",4,1,5200,5200
"MALDEN",0,12,1623,1700
"MALDEN",1,68,2202,2200
"MALDEN",2,87,2824,2750
"MALDEN",3,63,3282,3200
"MALDEN",4,14,3776,3598
"MALDEN",5,4,4275,4150
"MANCHESTER",0,1,1300,1300
"MANCHESTER",2,1,1800,1800
"MANCHESTER",3,1,3000,3000
"MANSFIELD",0,1,1800,1800
"MANSFIELD",1,4,2129,2088
"MANSFIELD",2,9,2177,1995
"MANSFIELD",3,5,3389,3550
"MANSFIELD",4,4,6150,5400
"MARBLEHEAD",1,5,2050,1975
"MARBLEHEAD",2,7,3393,3950
"MARBLEHEAD",3,2,3200,3200
"MARLBOROUGH",0,5,1358,1395
"MARLBOROUGH",1,22,2100,1872
"MARLBOROUGH",2,34,2768,2652
"MARLBOROUGH",3,7,2990,3000
"MARLBOROUGH",4,2,2998,2998
"MARSHFIELD",1,6,2819,2748
"MARSHFIELD",2,8,3084,3165
"MARSHFIELD",3,5,3380,3500
"MARSHFIELD",4,1,5800,5800
"MAYNARD",1,4,1936,1850
"MAYNARD",2,9,2482,2500
"MAYNARD",3,3,3133,2800
"MAYNARD",4,1,3100,3100
"MEDFIELD",1,3,1586,1600
"MEDFIELD",2,5,2185,2201
"MEDFIELD",3,5,5020,5500
"MEDFORD",0,10,1826,1752
"MEDFORD",1,63,2203,2295
"MEDFORD",2,180,3070,3000
"MEDFORD",3,176,3716,3700
"MEDFORD",4,98,4404,4400
"MEDFORD",5,37,5294,5600
"MEDFORD",6,7,6678,6495
"MEDWAY",1,1,1695,1695
"MEDWAY",2,5,1720,1700
"MEDWAY",3,1,3500,3500
"MEDWAY",4,3,3750,3750
"MELROSE",0,3,1827,1495
"MELROSE",1,33,2006,1850
"MELROSE",2,20,2992,2825
"MELROSE",3,6,3690,3318
"MELROSE",4,1,3300,3300
"MERRIMAC",1,1,2100,2100
"METHUEN",0,4,1475,1612
"METHUEN",1,12,1667,1775
"METHUEN",2,8,2353,2250
"METHUEN",3,3,2517,2500
"METHUEN",4,3,3467,3900
"MIDDLETON",2,3,2883,3250
"MIDDLETON",4,1,3850,3850
"MILFORD",1,8,1656,1600
"MILFORD",2,12,2054,1925
"MILFORD",3,6,3042,3075
"MILLIS",0,3,1915,1995
"MILLIS",1,6,1775,1900
"MILLIS",2,8,2650,2750
"MILLIS",3,4,3225,3225
"MILTON",0,1,1700,1700
"MILTON",1,5,2260,2200
"MILTON",2,4,2662,2825
"MILTON",3,7,3821,4000
"MILTON",4,1,5000,5000
"MILTON",5,1,12695,12695
"NAHANT",1,2,2062,2062
"NAHANT",2,1,2850,2850
"NATICK",0,4,2161,1722
"NATICK",1,12,2096,1900
"NATICK",2,29,3204,2850
"NATICK",3,6,3707,3700
"NATICK",4,3,5267,5500
"NEEDHAM",1,8,2764,2646
"NEEDHAM",2,9,3528,4000
"NEEDHAM",3,2,5125,5125
"NEWBURY",0,1,1200,1200
"NEWBURY",1,2,2275,2275
"NEWBURY",2,3,2928,2995
"NEWBURY",3,3,3900,3800
"NEWBURYPORT",0,5,2154,2190
"NEWBURYPORT",1,14,2494,2198
"NEWBURYPORT",2,8,2978,2800
"NEWBURYPORT",3,2,4025,4025
"NEWTON",0,23,2030,2200
"NEWTON",1,99,2578,2495
"NEWTON",2,179,3335,2975
"NEWTON",3,74,4461,4250
"NEWTON",4,55,5107,4800
"NEWTON",5,6,6280,6750
"NEWTON",6,5,5677,5195
"NORFOLK",1,2,2100,2100
"NORFOLK",4,2,3925,3925
"NORTH ANDOVER",0,1,1875,1875
"NORTH ANDOVER",1,5,2252,2099
"NORTH ANDOVER",2,23,2783,2500
"NORTH ANDOVER",3,10,3030,3075
"NORTH ATTLEBOROUGH",1,3,1583,1500
"NORTH ATTLEBOROUGH",2,1,2350,2350
"NORTH ATTLEBOROUGH",3,4,2488,2525
"NORTH READING",0,1,400,400
"NORTH READING",1,3,1967,1600
"NORTH READING",2,2,2726,2726
"NORTH READING",4,1,5600,5600
"NORTHBOROUGH",1,9,2696,2545
"NORTHBOROUGH",2,4,3907,3688
"NORTHBOROUGH",3,5,4321,4487
"NORTHBRIDGE",2,1,1850,1850
"NORTHBRIDGE",3,2,2148,2148
"NORTHBRIDGE",4,1,4500,4500
"NORWELL",4,1,7000,7000
"NORWOOD",1,32,2368,2325
"NORWOOD",2,29,2754,2790
"NORWOOD",3,17,3740,3465
"NORWOOD",4,2,3750,3750
"NORWOOD",5,1,6000,6000
"NORWOOD",6,3,4300,4300
"PEABODY",0,3,1432,1650
"PEABODY",1,28,2127,2075
"PEABODY",2,29,2879,2901
"PEABODY",3,7,3054,2900
"PEABODY",4,3,4000,4000
"PEMBROKE",1,4,2094,2012
"PEMBROKE",2,2,2650,2650
"PEMBROKE",3,2,3375,3375
"PEPPERELL",2,2,1822,1822
"PEPPERELL",3,2,2800,2800
"PLAINVILLE",1,14,2036,1982
"PLAINVILLE",2,12,2332,2265
"PLYMOUTH",0,1,2100,2100
"PLYMOUTH",1,3,2883,3450
"PLYMOUTH",2,2,2448,2448
"PLYMOUTH",3,1,2900,2900
"PLYMPTON",5,1,3999,3999
"QUINCY",0,28,1849,1750
"QUINCY",1,171,2330,2100
"QUINCY",2,180,2825,2600
"QUINCY",3,52,3265,3200
"QUINCY",4,12,4808,4250
"QUINCY",5,4,4017,4048
"QUINCY",6,1,4500,4500
"RANDOLPH",1,1,1800,1800
"RANDOLPH",2,5,2468,2400
"RANDOLPH",3,10,3148,3225
"RANDOLPH",4,1,4200,4200
"RAYNHAM",1,3,2433,2400
"READING",1,8,2431,2422
"READING",2,12,3014,2850
"READING",3,2,4250,4250
"READING",4,1,5850,5850
"REVERE",0,9,1724,1800
"REVERE",1,48,2165,2100
"REVERE",2,68,2711,2650
"REVERE",3,31,3185,3200
"REVERE",4,8,3172,3188
"REVERE",5,1,4950,4950
"ROCKLAND",0,2,1475,1475
"ROCKLAND",1,4,1738,1750
"ROCKLAND",2,4,2775,2875
"ROCKLAND",3,1,3600,3600
"ROCKPORT",0,5,1738,1750
"ROCKPORT",1,3,1742,1750
"ROCKPORT",2,3,2398,2500
"ROCKPORT",3,1,3500,3500
"ROWLEY",2,1,2500,2500
"SALEM",0,7,1875,1850
"SALEM",1,78,2176,2175
"SALEM",2,75,2729,2650
"SALEM",3,23,3055,2950
"SALEM",4,5,2490,3200
"SALISBURY",1,1,1800,1800
"SALISBURY",2,3,2600,2550
"SALISBURY",3,1,3900,3900
"SAUGUS",0,1,1500,1500
"SAUGUS",1,6,2059,1875
"SAUGUS",2,7,2893,2585
"SAUGUS",3,5,3340,3500
"SAUGUS",4,2,3650,3650
"SAUGUS",6,1,4500,4500
"SCITUATE",1,1,2985,2985
"SCITUATE",2,4,3338,3300
"SCITUATE",3,1,4995,4995
"SEEKONK",2,1,2450,2450
"SHARON",0,3,1848,1700
"SHARON",1,6,2766,2748
"SHARON",2,4,3176,3108
"SHARON",5,1,900,900
"SHERBORN",2,2,3025,3025
"SHIRLEY",0,1,1550,1550
"SHIRLEY",1,3,1833,1850
"SHIRLEY",2,2,2250,2250
"SHREWSBURY",1,2,2533,2533
"SHREWSBURY",2,1,2553,2553
"SHREWSBURY",3,5,3853,3700
"SHREWSBURY",5,1,3900,3900
"SOMERVILLE",0,143,2469,2450
"SOMERVILLE",1,496,2810,2780
"SOMERVILLE",2,716,3468,3411
"SOMERVILLE",3,587,4073,4050
"SOMERVILLE",4,334,4923,4900
"SOMERVILLE",5,58,5682,5600
"SOMERVILLE",6,25,6002,6300
"SOUTHBOROUGH",2,1,2450,2450
"SOUTHBOROUGH",3,1,3500,3500
"STONEHAM",0,2,1772,1772
"STONEHAM",1,18,1987,2095
"STONEHAM",2,21,2701,2500
"STONEHAM",3,3,3683,3500
"STONEHAM",4,2,3600,3600
"STONEHAM",6,1,5497,5497
"STOUGHTON",0,2,1535,1535
"STOUGHTON",1,7,1955,1700
"STOUGHTON",2,19,2776,2950
"STOUGHTON",3,3,3850,3750
"STOW",1,6,2508,2400
"STOW",2,1,2695,2695
"STOW",3,1,4800,4800
"SUDBURY",1,6,2992,2732
"SUDBURY",2,4,4629,4768
"SUDBURY",3,2,6310,6310
"SWAMPSCOTT",1,2,1700,1700
"SWAMPSCOTT",2,7,3918,2750
"SWAMPSCOTT",3,4,4032,3225
"TAUNTON",0,2,1575,1575
"TAUNTON",1,4,1688,1662
"TAUNTON",2,1,2075,2075
"TAUNTON",3,2,2200,2200
"TEWKSBURY",1,3,1983,2000
"TEWKSBURY",2,10,2504,2575
"TEWKSBURY",3,1,3527,3527
"TOPSFIELD",5,1,7789,7789
"TOWNSEND",3,1,1850,1850
"TYNGSBOROUGH",2,6,2191,2092
"TYNGSBOROUGH",3,2,3599,3599
"UPTON",1,1,1400,1400
"UPTON",2,1,3300,3300
"UPTON",3,1,3000,3000
"UPTON",4,1,4200,4200
"UXBRIDGE",1,3,1350,1300
"UXBRIDGE",2,2,2048,2048
"UXBRIDGE",3,3,2767,2700
"WAKEFIELD",1,20,2316,1985
"WAKEFIELD",2,18,2576,2350
"WAKEFIELD",3,3,3433,3700
"WALPOLE",1,8,2096,1885
"WALPOLE",2,2,2750,2750
"WALPOLE",3,4,3300,3250
"WALPOLE",4,1,3950,3950
"WALTHAM",0,31,1966,1900
"WALTHAM",1,126,2235,2200
"WALTHAM",2,100,2919,2777
"WALTHAM",3,67,3844,3600
"WALTHAM",4,28,4143,3998
"WALTHAM",5,21,5397,5100
"WALTHAM",6,2,6600,6600
"WATERTOWN",0,25,2206,2200
"WATERTOWN",1,69,2488,2450
"WATERTOWN",2,148,3000,2975
"WATERTOWN",3,56,3847,3500
"WATERTOWN",4,12,4079,4300
"WATERTOWN",6,2,6250,6250
"WAYLAND",0,1,1875,1875
"WAYLAND",1,5,2140,2200
"WAYLAND",2,2,6040,6040
"WAYLAND",3,3,6051,5500
"WAYLAND",4,1,4700,4700
"WELLESLEY",1,2,2300,2300
"WELLESLEY",2,6,2953,2750
"WELLESLEY",3,10,4199,4100
"WEST BRIDGEWATER",0,1,1600,1600
"WEST BRIDGEWATER",1,3,2076,2300
"WEST BRIDGEWATER",2,4,2762,2100
"WESTBOROUGH",1,7,2009,1820
"WESTBOROUGH",2,7,2404,2400
"WESTBOROUGH",3,2,3250,3250
"WESTBOROUGH",4,2,3374,3374
"WESTFORD",1,2,1850,1850
"WESTFORD",2,3,3155,3195
"WESTFORD",3,3,3548,3595
"WESTFORD",4,1,4800,4800
"WESTON",1,1,2250,2250
"WESTON",2,1,4100,4100
"WESTON",3,1,3300,3300
"WESTON",4,3,7000,6000
"WESTON",5,1,9000,9000
"WESTWOOD",1,1,2136,2136
"WESTWOOD",2,5,6183,6735
"WESTWOOD",3,2,3850,3850
"WESTWOOD",4,1,5000,5000
"WEYMOUTH",0,7,1899,1950
"WEYMOUTH",1,25,2170,2150
"WEYMOUTH",2,33,2664,2500
"WEYMOUTH",3,6,3018,2983
"WEYMOUTH",4,5,3970,4352
"WEYMOUTH",5,1,1000,1000
"WHITMAN",0,1,1100,1100
"WHITMAN",1,1,2000,2000
"WHITMAN",2,7,2570,2395
"WILMINGTON",0,3,1683,1700
"WILMINGTON",1,2,2050,2050
"WILMINGTON",2,3,3200,3150
"WINCHESTER",0,11,1761,1800
"WINCHESTER",1,9,2107,2095
"WINCHESTER",2,7,2614,2495
"WINCHESTER",3,5,3630,3400
"WINCHESTER",4,2,4300,4300
"WINTHROP",0,5,1597,1595
"WINTHROP",1,19,2388,2300
"WINTHROP",2,28,2778,2870
"WINTHROP",3,11,3345,3000
"WINTHROP",4,5,3630,3600
"WOBURN",0,7,2183,2000
"WOBURN",1,67,2313,2225
"WOBURN",2,93,2858,2700
"WOBURN",3,23,3853,3877
"WOBURN",4,4,3475,3500
"WORCESTER",2,2,2562,2562
"WRENTHAM",1,1,2000,2000
"WRENTHAM",2,1,1400,1400
